"account_type","action","activity_code","amount","as_of_date","check_number","commission","commission_in_gross","contra_broker","cusip","customer","description","effective_date","entry_date","exchange_rate","fees","from_location","front_exec","held_currency_code","interest","maturity_date","misc_fee","nfa_fee","order_number","output_currency_code","payee","price","principal","quantity","sales_credit","sec_fee","security_class_code","security_type","state_tax","symbol","tax_exempt_status","taxes","to_location","trade","transaction_date","user_defined_action"
"INVENTORY","Sale","","79309.1","","","0","Y","","4140187X3","91APUN00","HARRIS CNTY TEX FLOOD CTL DIST IMPT REF BDS             2020A","Wed, 30 Sep 2020 12:00:00 am EDT","Tue, 22 Sep 2020  1:11:35 pm EDT","1.00000","0","","","USD","0","","0","0","N0101F99","USD","","122.014","-79309.1","-65000","0","0","","FIXED","0","FIXED 4140187X3","N/A","0","","Y","Tue, 22 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Sale Cancellation","","-240792.32","","","0","N","","727866AH8","91APUN00","PLATTEVILLE-GILCREST FIRE PROT COPS                     2018","Fri, 25 Sep 2020 12:00:00 am EDT","Wed, 23 Sep 2020 12:36:14 pm EDT","1.00000","0","","","USD","-2596.67","","0","0","N0001F98","USD","","116.193","238195.65","205000","0","0","","FIXED","0","FIXED 727866AH8","N/A","0","","Y","Wed, 23 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Sale","","240792.32","","","0","N","","727866AH8","91APUN00","PLATTEVILLE-GILCREST FIRE PROT COPS                     2018","Fri, 25 Sep 2020 12:00:00 am EDT","Wed, 23 Sep 2020  5:38:47 am EDT","1.00000","0","","","USD","2596.67","","0","0","N0001F99","USD","","116.193","-238195.65","-205000","0","0","","FIXED","0","FIXED 727866AH8","N/A","0","","Y","Wed, 23 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Sale","","242268.32","","","0","N","","727866AH8","91APUN00","PLATTEVILLE-GILCREST FIRE PROT COPS                     2018","Fri, 25 Sep 2020 12:00:00 am EDT","Wed, 23 Sep 2020  2:32:15 pm EDT","1.00000","0","","","USD","2596.67","","0","0","N0004F99","USD","","116.913","-239671.65","-205000","0","0","","FIXED","0","FIXED 727866AH8","N/A","0","","Y","Wed, 23 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase","","-326022","","","0","Y","","058759FT3","91APUN00","BALMORHEA TEX INDPT SCH DIST UNLTD TAX BLDG BDS       2020A","Tue, 20 Oct 2020 12:00:00 am EDT","Thu, 24 Sep 2020  3:59:09 am EDT","1.00000","0","","","USD","0","","0","0","O0001F99","USD","","108.674","326022","300000","0","0","","FIXED","0","FIXED 058759FT3","N/A","0","","Y","Thu, 24 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Sale","","327480","","","0","Y","","058759FT3","91APUN00","BALMORHEA TEX INDPT SCH DIST UNLTD TAX BLDG BDS       2020A","Tue, 20 Oct 2020 12:00:00 am EDT","Thu, 24 Sep 2020  1:49:05 pm EDT","1.00000","0","","","USD","0","","0","0","N0215F99","USD","","109.16","-327480","-300000","0","0","","FIXED","0","FIXED 058759FT3","N/A","0","","Y","Thu, 24 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Sale","","42564.39","","","0","N","","799561NC5","91APUN00","SAN YSIDRO CALIF SCH DIST ELECTION 2020-SER A-MEAS","Thu, 01 Oct 2020 12:00:00 am EDT","Tue, 29 Sep 2020  1:52:55 pm EDT","1.00000","0","","VSIN","USD","54.44","","0","0","N0005F99","USD","","121.457","-42509.95","-35000","0","0","","FIXED","0","FIXED 799561NC5","N/A","0","","Y","Tue, 29 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase","","-56419.9","","","0","Y","","20282EAP1","91APUN00","COMMONWEALTH FING AUTH PA TOB BDS                      2018","Fri, 02 Oct 2020 12:00:00 am EDT","Wed, 30 Sep 2020  3:57:36 pm EDT","1.00000","0","","VSIN","USD","756.25","","0","0","N0001F99","USD","","123.697","55663.65","45000","0","0","","FIXED","0","FIXED 20282EAP1","N/A","0","","Y","Wed, 30 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Sale","","259522","","","0","Y","","429326M57","91APUN00","HIDALGO CNTY TEX CTFS OBLIG               2020","Wed, 14 Oct 2020 12:00:00 am EDT","Wed, 30 Sep 2020  7:27:09 am EDT","1.00000","0","","VSIN","USD","0","","0","0","N0002F99","USD","","129.761","-259522","-200000","0","0","","FIXED","0","FIXED 429326M57","N/A","0","","Y","Wed, 30 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Sale","","42353.31","","","0","N","","167486B73","91APUN00","CHICAGO ILL GO BDS                   2010C","Mon, 05 Oct 2020 12:00:00 am EDT","Thu, 01 Oct 2020  3:30:48 pm EDT","1.00000","0","","VSIN","USD","609.51","","0","0","N0004F99","USD","","139.146","-41743.8","-30000","0","0","","FIXED","0","FIXED 167486B73","N/A","0","","Y","Thu, 01 Oct 2020 12:00:00 am EDT",""
"INVENTORY","Purchase","","-131813","","","0","Y","","196711TC9","91APUN00","COLORADO ST CTFS PARTN NATL WESTN CTR-LEASE PUR","Wed, 14 Oct 2020 12:00:00 am EDT","Fri, 02 Oct 2020  9:46:03 pm EDT","1.00000","0","","","USD","0","","0","0","N0302F99","USD","","131.813","131813","100000","0","0","","FIXED","0","FIXED 196711TC9","N/A","0","","Y","Fri, 02 Oct 2020 12:00:00 am EDT",""
"INVENTORY","Purchase","","-500000","","","0","Y","","347712EY3","91APUN00","FORT LEE N J BRD ED REF-TAXABLE","Thu, 22 Oct 2020 12:00:00 am EDT","Fri, 02 Oct 2020  7:00:50 pm EDT","1.00000","0","","","USD","0","","0","0","N0301F99","USD","","100","500000","500000","0","0","","FIXED","0","FIXED 347712EY3","N/A","0","","Y","Fri, 02 Oct 2020 12:00:00 am EDT",""
"INVENTORY","Sale","","16917.6","","","0","Y","","64966QKA7","91APUN00","NEW YORK N Y GO BDS                   FISCA","Wed, 07 Oct 2020 12:00:00 am EDT","Mon, 05 Oct 2020  6:43:27 am EDT","1.00000","0","","","USD","60","","0","0","N0001F99","USD","","112.384","-16857.6","-15000","0","0","","FIXED","0","FIXED 64966QKA7","N/A","0","","Y","Mon, 05 Oct 2020 12:00:00 am EDT",""
"INVENTORY","Sale","","71838","","","0","Y","","74265LP28","91APUN00","PRIVATE COLLEGES & UNIVS AUTH REF BDS                  2019","Wed, 07 Oct 2020 12:00:00 am EDT","Mon, 05 Oct 2020  6:58:57 am EDT","1.00000","0","","","USD","1050","","0","0","N0501F99","USD","","117.98","-70788","-60000","0","0","","FIXED","0","FIXED 74265LP28","N/A","0","","Y","Mon, 05 Oct 2020 12:00:00 am EDT",""
"INVENTORY","Sale Cancellation","","-99300","","","0","Y","","539770LM7","91APUN00","LOCKHART TEX INDPT SCH DIST TAXABLE UNLTD TAX REF BD 2020","Thu, 15 Oct 2020 12:00:00 am EDT","Mon, 05 Oct 2020  3:54:12 pm EDT","1.00000","0","","","USD","0","","0","0","N0301F98","USD","","99.3","99300","100000","0","0","","FIXED","0","FIXED 539770LM7","N/A","0","","Y","Mon, 05 Oct 2020 12:00:00 am EDT",""
"INVENTORY","Sale","","99300","","","0","Y","","539770LM7","91APUN00","LOCKHART TEX INDPT SCH DIST TAXABLE UNLTD TAX REF BD 2020","Thu, 15 Oct 2020 12:00:00 am EDT","Mon, 05 Oct 2020  7:09:56 am EDT","1.00000","0","","","USD","0","","0","0","N0301F99","USD","","99.3","-99300","-100000","0","0","","FIXED","0","FIXED 539770LM7","N/A","0","","Y","Mon, 05 Oct 2020 12:00:00 am EDT",""
"INVENTORY","Sale","","124125","","","0","Y","","539770LM7","91APUN00","LOCKHART TEX INDPT SCH DIST TAXABLE UNLTD TAX REF BD 2020","Thu, 15 Oct 2020 12:00:00 am EDT","Mon, 05 Oct 2020 12:48:41 pm EDT","1.00000","0","","","USD","0","","0","0","N0302F99","USD","","99.3","-124125","-125000","0","0","","FIXED","0","FIXED 539770LM7","N/A","0","","Y","Mon, 05 Oct 2020 12:00:00 am EDT",""
"INVENTORY","Sale","","124125","","","0","Y","","539770LM7","91APUN00","LOCKHART TEX INDPT SCH DIST TAXABLE UNLTD TAX REF BD 2020","Thu, 15 Oct 2020 12:00:00 am EDT","Mon, 05 Oct 2020  4:14:51 pm EDT","1.00000","0","","","USD","0","","0","0","N0303F99","USD","","99.3","-124125","-125000","0","0","","FIXED","0","FIXED 539770LM7","N/A","0","","Y","Mon, 05 Oct 2020 12:00:00 am EDT",""
"INVENTORY","Sale Cancellation","","-124125","","","0","Y","","539770LM7","91APUN00","LOCKHART TEX INDPT SCH DIST TAXABLE UNLTD TAX REF BD 2020","Thu, 15 Oct 2020 12:00:00 am EDT","Wed, 14 Oct 2020  2:10:39 am EDT","1.00000","0","","","USD","0","","0","0","N0303F98","USD","","99.3","124125","125000","0","0","","FIXED","0","FIXED 539770LM7","N/A","0","","Y","Mon, 05 Oct 2020 12:00:00 am EDT",""
